User-ID,ISBN,Book-Rating
276925,0804106304,0
276925,0971880107,0
276925,1853262404,0
276939,0971880107,0
276953,0446310786,10
276954,0971880107,0
277042,0971880107,2
277157,0971880107,0
277168,0440225701,0
277195,0375406328,0
277195,042511774X,0
277378,0971880107,0
277427,0140067477,0
277427,0440225701,0
277427,0971880107,0
277478,0440225701,0
277478,0440234743,0
277478,0671888587,0
277478,0971880107,0
277530,0971880107,0
277641,0375406328,7
277689,0804106304,0
277698,0316769487,6
277711,0452264464,0
277722,0449005615,10
277743,0446310786,9
277744,0449005615,0
277922,0440225701,6
277928,0679429220,0
277932,0971880107,0
277965,0345402871,0
277965,0345417623,0
278137,0671888587,0
278137,0804106304,8
278137,0971880107,0
278144,0345417623,0
278144,0440234743,0
278176,0971880107,9
278188,0440223571,9
278188,0440225701,9
278202,0312252617,4
278221,0804106304,9
278333,0440225701,10
278373,0971880107,0
278390,0425182908,4
278390,0804106304,0
278418,0061076031,0
278418,042518630X,7
278418,0440223571,0
278418,0440225701,0
278418,0446310786,0
278418,0452264464,0
278418,1853260053,0
278514,0971880107,0
278535,042511774X,0
278843,0804106304,0
278851,1558531025,8
2,0195153448,0
8,0002005018,5
8,0060973129,0
8,0374157065,0
8,0393045218,0
8,0399135782,0
8,0425176428,0
8,0671870432,0
8,0679425608,0
8,074322678X,5
8,0771074670,0
8,080652121X,0
8,0887841740,5
8,1552041778,5
8,1558746218,0
8,1567407781,6
8,1575663937,6
8,1881320189,7
9,0440234743,0
9,0452264464,6
9,0609804618,0
10,1841721522,0
12,1879384493,10
14,0061076031,5
14,0439095026,5
14,0689821166,6
14,0971880107,0
16,0345402871,9
16,0345417623,0
17,0684823802,0
19,0375759778,7
20,0425163091,0
22,3404921038,7
22,3442353866,0
22,3442410665,0
22,3442446937,0
23,0375406328,0
26,0446310786,10
26,0449005615,9
32,0060168013,8
32,038078243X,0
32,055321215X,0
36,067176537X,0
39,0061099686,0
39,0553582909,8
39,0671888587,7
42,0553582747,7
44,0425182908,0
44,042518630X,0
44,0440223571,8
44,0812523873,0
44,0842342702,0
51,0440225701,9
53,0060914068,3
53,0156047624,10
53,0245542957,6
53,0380715899,9
53,0553280333,0
53,0961769947,0
53,0964778319,0
56,0671623249,7
56,0679810307,0
56,0679865691,9
64,2070423204,7
67,0345260317,0
67,0394743741,7
67,042511774X,0
67,0804106304,0
68,1853262404,0
69,0312970242,0
69,1853260053,8
70,1414035004,10
73,0060938412,5
75,0140067477,0
75,0345465083,0
75,0451625889,0
75,1558531025,5
77,0441783589,0
78,0394895894,8
79,1569871213,0
81,0375410538,5
82,0966986105,10
83,087113375X,7
85,0340767936,5
85,0743403843,0
86,0060930365,4
87,0060177586,0
87,0071416331,8
87,0375509038,8
88,0553062042,7
91,0316769487,9
92,8445071408,7
92,8445071769,8
92,8445071777,10
95,0679429220,0
97,0671867156,7
99,0312252617,8
99,0312261594,8
99,0316748641,7
125,0679429220,10
193,0971880107,0
242,0971880107,0
243,0345465083,0
243,042511774X,0
243,0440225701,0
243,0440234743,0
254,0316769487,0
254,0804106304,0
280,0316769487,7
367,0449005615,9
388,0440234743,0
487,0671888587,6
487,0971880107,0
569,0971880107,0
626,0971880107,0
638,0316769487,10
735,0440225701,0
843,0449005615,0
882,0679429220,9
885,0804106304,5
899,0971880107,2
901,0971880107,0
970,0971880107,0
1025,0971880107,0
1032,0446310786,10
1140,0971880107,0
1343,0971880107,0
1376,0345417623,8
1424,0804106304,6
1435,0425182908,0
1435,0971880107,5
1486,0971880107,5
1619,0440225701,9
1650,0804106304,10
1660,0553582747,5
1674,0679429220,0
1733,0971880107,1
1773,0804106304,9
1797,0316769487,0
1848,0345417623,8
1863,0971880107,0
1903,0971880107,0
2087,0345417623,0
2268,0971880107,0
2276,0425182908,4
2276,0679429220,0
2288,0553582747,0
2375,0345465083,7
2411,0971880107,3
2528,0671867156,10
2630,0842342702,0
2766,0446310786,10
2766,0449005615,9
2766,0971880107,6
2771,0449005615,0
2830,0971880107,0
2891,0449005615,0
2891,0804106304,7
2954,0060973129,8
2977,0440234743,0
2977,0971880107,0
3026,0804106304,8
3032,0971880107,1
3145,0425182908,7
3145,0842342702,0
3154,1853260053,0
3329,0440234743,8
3350,0804106304,10
3363,0140067477,0
3363,0345417623,0
3363,0440234743,0
3363,0449005615,0
3363,0971880107,0
3363,1558746218,0
3373,0452264464,10
3427,0553582747,0
3542,0316769487,0
3542,0446310786,10
3556,0971880107,0
3675,1841721522,0
3761,0449005615,0
4017,0446310786,10
4017,0804106304,0
4092,0971880107,0
4131,0971880107,1
4225,0446310786,10
4225,0804106304,6
4243,0971880107,0
4285,0971880107,0
4431,0671623249,9
4514,0971880107,0
4556,0345417623,0
4571,0971880107,0
4781,0452264464,0
4781,0971880107,0
4784,0971880107,2
4794,0446310786,0
5126,0971880107,5
5264,0971880107,0
5331,0440225701,0
5375,0449005615,8
5471,0971880107,0
5476,0440225701,5
5506,0971880107,0
5539,0449005615,0
5543,0971880107,0
5555,0452264464,9
5581,0971880107,0
5604,0971880107,6
5760,0440234743,0
5815,0345417623,0
5815,0971880107,0
5903,0804106304,0
5916,0971880107,0
5998,0553582747,0
6007,0345402871,0
6007,0425182908,0
6026,0452264464,0
6095,0971880107,0
6120,0971880107,0
6242,0452264464,5
6251,0140067477,10
6251,0345417623,0
6251,0345465083,0
6251,0380715899,7
6251,0425182908,0
6251,0441783589,0
6251,0804106304,0
6251,0971880107,0
6251,1558531025,0
6254,0842342702,10
6323,0804106304,0
6336,0679429220,0
6366,1841721522,7
6431,0971880107,4
6507,0971880107,0
6543,0394895894,0
6543,0971880107,0
6563,0345465083,0
6575,0312261594,2
6575,042511774X,0
6575,0449005615,0
6575,0679429220,6
6575,0804106304,9
6795,0440234743,0
6866,0440225701,7
6910,0609804618,9
7082,0140067477,8
7105,0971880107,6
7125,0971880107,0
7158,042511774X,0
7158,0553582747,8
7158,0971880107,0
7210,0452264464,0
7286,0971880107,0
7346,0316769487,0
7346,0345417623,0
7346,0440225701,10
7346,0440234743,9
7346,0446310786,0
7346,0804106304,9
7346,1558531025,9
7352,0440225701,0
7352,0440234743,8
7409,0446310786,8
7426,0679429220,7
7426,0971880107,0
7515,0971880107,0
7651,0316769487,3
7736,0804106304,0
7809,0140067477,10
7841,0316769487,7
7841,0446310786,5
7856,0804106304,8
7860,0440225701,0
7864,0971880107,0
7904,0671888587,0
7913,0609804618,6
7915,042511774X,8
7958,0140067477,0
7958,0804106304,10
8066,0375759778,5
8067,042518630X,2
8115,0446310786,8
8167,042511774X,0
